particle_id,birth_time_s,x_mm,y_mm,z_mm,vx_m_s,vy_m_s,vz_m_s,mass_amu,charge_state
21,4.108103651864251e-05,0.0,0.009857166483527635,80.6,0.0,-66.03151606605314,4392.346328583013,100.0,1
22,4.1081076362256554e-05,0.0,0.009977795381914234,80.6,0.0,-63.28309511977233,4392.386786384222,100.0,1
23,4.108111139683284e-05,0.0,0.01008865473100684,80.6,0.0,-60.76370925234826,4392.422361632423,100.0,1
24,4.108114500750723e-05,0.0,0.010199773545537028,80.6,0.0,-58.24432338492418,4392.456491545942,100.0,1
25,4.108117719437927e-05,0.0,0.010311141057883333,80.6,0.0,-55.724937517496855,4392.489176158471,100.0,1
26,4.108121068360178e-05,0.0,0.010432903877273247,80.6,0.0,-52.97651657121605,4392.523183777478,100.0,1
27,4.1081239893735615e-05,0.0,0.010544756604929262,80.6,0.0,-50.457130703791975,4392.552846499606,100.0,1
28,4.108126768034811e-05,0.0,0.01065682475619667,80.6,0.0,-47.93774483636465,4392.581064015854,100.0,1
29,4.108129404352155e-05,0.0,0.010769097568115171,80.6,0.0,-45.41835896894058,4392.607836354075,100.0,1
30,4.108132118001238e-05,0.0,0.010891797768096012,80.6,0.0,-42.66993802265977,4392.635394352666,100.0,1
31,4.108134456715146e-05,0.0,0.011004463731850933,80.6,0.0,-40.1505521552357,4392.659145038719,100.0,1
32,4.1081366531079165e-05,0.0,0.01111730109515463,80.6,0.0,-37.63116628780838,4392.681450623807,100.0,1
33,4.108138707186052e-05,0.0,0.011230299098883734,80.6,0.0,-35.11178042038431,4392.702311129946,100.0,1
34,4.108140618955633e-05,0.0,0.01134344698469647,80.6,0.0,-32.59239455296023,4392.721726577722,100.0,1
35,4.1081425422267735e-05,0.0,0.011467039341042096,80.6,0.0,-29.843973606676176,4392.74125900559,100.0,1
36,4.108144156459904e-05,0.0,0.011580465855246302,80.6,0.0,-27.324587739252102,4392.75765302794,100.0,1
37,4.108145628400615e-05,0.0,0.011694009002908956,80.6,0.0,-24.80520187182803,4392.7726020465425,100.0,1
38,4.108146958053265e-05,0.0,0.011807658028359924,80.6,0.0,-22.28581600440396,4392.786106076151,100.0,1
39,4.108148246309097e-05,0.0,0.01193174689869636,80.6,0.0,-19.5373950581199,4392.799189756459,100.0,1
40,4.108149278462571e-05,0.0,0.012045582551323264,80.6,0.0,-17.018009190695825,4392.809672486828,100.0,1
41,4.1081501683387895e-05,0.0,0.012159490840062404,80.6,0.0,-14.498623323271751,4392.818710264787,100.0,1
42,4.108150915940388e-05,0.0,0.012273461011034215,80.6,0.0,-11.979237455844427,4392.826303099251,100.0,1
43,4.108151521269578e-05,0.0,0.012387482310714404,80.6,0.0,-9.459851588420356,4392.832450997714,100.0,1
44,4.108152019369696e-05,0.0,0.012511914859430817,80.6,0.0,-6.711430642139549,4392.837509859588,100.0,1
45,4.108152327225511e-05,0.0,0.012626008316544812,80.6,0.0,-4.192044774715476,4392.840636546159,100.0,1
46,4.108152435182529e-05,0.0,0.012688249339205981,80.6,0.0,-2.817834301571821,4392.841732994771,100.0,1
47,4.1081524928130974e-05,0.0,0.012740119665465954,80.6,0.0,-1.6726589072881515,4392.842318310872,100.0,1
48,4.108152516132943e-05,0.0,0.01285423815333786,80.6,0.0,0.8467269601359213,4392.842555155387,100.0,1
49,4.108152379317076e-05,0.0,0.012978726555999742,80.6,0.0,3.595147906416728,4392.841165605943,100.0,1
50,4.1081521051677406e-05,0.0,0.013092825224077842,80.6,0.0,6.1145337738408,4392.838381252762,100.0,1
51,4.1081516887495176e-05,0.0,0.013206897795001282,80.6,0.0,8.633919641268125,4392.834151975497,100.0,1
52,4.108151130061175e-05,0.0,0.01332093351574315,80.6,0.0,11.153305508692199,4392.828477769976,100.0,1
53,4.108150429101059e-05,0.0,0.013434921633077579,80.6,0.0,13.67269137611627,4392.821358630599,100.0,1
54,4.108149502154475e-05,0.0,0.01355920537911004,80.6,0.0,16.42111232240033,4392.811944347351,100.0,1
